Symbol,Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,RSI,ATR,BB_Middle,BB_Upper,BB_Lower,BB_Width
ABT,2026-03-18,109.5,109.95,107.75,108.49,8241400,112.092,113.8622,125.0768,40.3788,2.4014,112.092,117.3573,106.8267,0.0939
ABT,2026-03-19,108.73,109.77,107.14,107.19,10466000,111.842,113.4633,124.9542,37.5934,2.4177,111.842,117.5444,106.1396,0.102
ABT,2026-03-20,107.04,107.79,105.4,105.46,81271300,111.5045,113.0445,124.8222,34.2112,2.4157,111.5045,117.875,105.134,0.1143
ABT,2026-03-23,107.07,107.14,104.1,104.85,8227800,110.9825,112.6306,124.6909,33.081,2.4603,110.9825,117.7458,104.2192,0.1219
ABT,2026-03-24,104.09,104.25,102.41,104.06,11794300,110.4565,112.2061,124.5507,31.624,2.4589,110.4565,117.6635,103.2495,0.1305
ABT,2026-03-25,105.45,105.82,104.25,104.83,6377000,109.96,111.8225,124.4163,34.6454,2.4089,109.96,117.2859,102.6341,0.1332
ABT,2026-03-26,104.39,105.98,104.0,104.57,6212300,109.3755,111.4404,124.2814,34.0975,2.3783,109.3755,116.4459,102.3051,0.1293
ABT,2026-03-27,104.9,105.46,103.68,103.99,10915000,108.7575,111.0328,124.14,32.8495,2.3356,108.7575,115.4094,102.1056,0.1223
ABT,2026-03-30,104.76,104.77,101.82,101.88,10476700,108.1455,110.5998,123.9823,28.7298,2.3795,108.1455,114.9701,101.3209,0.1262
ABT,2026-03-31,102.54,103.68,100.88,102.67,12442100,107.5985,110.218,123.8229,32.1603,2.4095,107.5985,114.332,100.865,0.1252
ABT,2026-04-01,102.84,103.79,102.21,102.38,7452500,107.0625,109.8428,123.6661,31.5597,2.3502,107.0625,113.6574,100.4676,0.1232
ABT,2026-04-02,102.02,103.47,101.55,102.87,5453400,106.654,109.4856,123.5197,33.8088,2.3195,106.654,113.2236,100.0844,0.1232
